2024-06-26 12:18:23.991 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-06-26 12:18:23.991 [info] Added views:workbench.panel.output in workbench.panel.output
2024-06-26 12:18:23.991 [info] Added views:terminal in terminal
2024-06-26 12:18:23.991 [info] Added views:outline in workbench.view.explorer
2024-06-26 12:18:23.991 [info] Added views:workbench.scm in workbench.view.scm
2024-06-26 12:18:23.991 [info] Added views:workbench.view.search in workbench.view.search
2024-06-26 12:18:23.991 [info] Added views:timeline in workbench.view.explorer
2024-06-26 12:18:23.991 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-06-26 12:18:24.561 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-06-26 12:18:24.617 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-06-26 12:18:24.986 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-06-26 12:18:45.281 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-06-26 12:18:45.290 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-06-26 12:18:45.972 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-06-26 12:18:45.987 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-06-26 12:27:05.862 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-06-26 12:27:05.880 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-06-26 12:27:08.089 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-06-26 12:27:08.102 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-06-26 12:29:04.143 [info] Added views:rdbg.inspector in workbench.view.debug
2024-06-26 12:30:44.597 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-06-26 12:30:44.615 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-06-26 12:31:27.251 [info] Removed views:rdbg.inspector from workbench.view.debug
2024-06-26 12:31:38.674 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-06-26 12:31:38.691 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-06-26 12:31:51.503 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-06-26 12:31:51.638 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-06-26 12:31:55.051 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-06-26 12:31:55.070 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-06-26 12:32:28.957 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-06-26 12:32:28.975 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-06-26 12:32:32.457 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-06-26 12:32:32.471 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-06-26 12:32:44.698 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-06-26 12:32:44.710 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-06-26 12:34:32.077 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-06-26 12:34:32.099 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-06-26 12:34:34.507 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-06-26 12:34:34.525 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-06-26 12:35:35.830 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-06-26 12:35:35.848 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-06-26 12:35:37.885 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-06-26 12:35:37.896 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
